Geography,Quarter,Gender,Measure Type,Unit,Value
S12000030,2017-Q4,All,Count,People,44400
S12000033,2017-Q4,Female,Count,People,59600
S12000033,2017-Q4,All,Count,People,123900
S12000033,2017-Q4,Male,Count,People,64300
S12000034,2017-Q4,All,Count,People,141400
S12000034,2017-Q4,Male,Count,People,77100
S12000034,2017-Q4,Female,Count,People,64300
S12000035,2017-Q4,All,Count,People,40200
S12000035,2017-Q4,Female,Count,People,18500
S12000035,2017-Q4,Male,Count,People,21700
S12000036,2017-Q4,Male,Count,People,133900
S12000036,2017-Q4,Female,Count,People,135400
S12000036,2017-Q4,All,Count,People,269300
S12000038,2017-Q4,Female,Count,People,42600
S12000038,2017-Q4,Male,Count,People,43500
S12000038,2017-Q4,All,Count,People,86100
S12000041,2017-Q4,Female,Count,People,26100
S12000041,2017-Q4,All,Count,People,54300
S12000041,2017-Q4,Male,Count,People,28200
S12000042,2017-Q4,Female,Count,People,33900
S12000042,2017-Q4,All,Count,People,65200
S12000042,2017-Q4,Male,Count,People,31300
S12000044,2017-Q4,All,Count,People,162800
S12000044,2017-Q4,Female,Count,People,79700
S12000044,2017-Q4,Male,Count,People,83200
S12000045,2017-Q4,Female,Count,People,24400
S12000045,2017-Q4,Male,Count,People,25800
S12000045,2017-Q4,All,Count,People,50100
S12000046,2017-Q4,All,Count,People,281300
S12000046,2017-Q4,Female,Count,People,137000
S12000046,2017-Q4,Male,Count,People,144300
S12000047,2017-Q4,All,Count,People,173200
S12000047,2017-Q4,Female,Count,People,82900
S12000047,2017-Q4,Male,Count,People,90300
S12000048,2017-Q4,Female,Count,People,34100
S12000048,2017-Q4,Male,Count,People,39100
S12000048,2017-Q4,All,Count,People,73200
