Date,Establishment,Value,Comparator,Attainment Distribution
2016,est:5102030,1812,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5102138,81,comparator:real-establishment,distribution:lowest-20pc
2016,est:5102138,584,comparator:real-establishment,distribution:middle-60pc
2016,est:5102138,1529,comparator:real-establishment,distribution:highest-20pc
2016,est:5102138,138,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5102138,664,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5102138,1626,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5109434,148,comparator:real-establishment,distribution:lowest-20pc
2016,est:5109434,886,comparator:real-establishment,distribution:middle-60pc
2016,est:5109434,1878,comparator:real-establishment,distribution:highest-20pc
2016,est:5109434,187,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5109434,833,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5109434,1717,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5109531,240,comparator:real-establishment,distribution:lowest-20pc
2016,est:5109531,819,comparator:real-establishment,distribution:middle-60pc
2016,est:5109531,1618,comparator:real-establishment,distribution:highest-20pc
2016,est:5109531,285,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5109531,1024,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5109531,1890,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5110432,566,comparator:real-establishment,distribution:middle-60pc
2016,est:5110432,547,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119030,342,comparator:real-establishment,distribution:lowest-20pc
2016,est:5119030,845,comparator:real-establishment,distribution:middle-60pc
2016,est:5119030,1665,comparator:real-establishment,distribution:highest-20pc
2016,est:5119030,199,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5119030,912,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119030,1829,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5119138,198,comparator:real-establishment,distribution:lowest-20pc
2016,est:5119138,790,comparator:real-establishment,distribution:middle-60pc
2016,est:5119138,1739,comparator:real-establishment,distribution:highest-20pc
2016,est:5119138,221,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5119138,902,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119138,1816,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5119332,177,comparator:real-establishment,distribution:lowest-20pc
2016,est:5119332,1159,comparator:real-establishment,distribution:middle-60pc
2016,est:5119332,1856,comparator:real-establishment,distribution:highest-20pc
2016,est:5119332,206,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5119332,974,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119332,1868,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5119634,87,comparator:real-establishment,distribution:lowest-20pc
2016,est:5119634,704,comparator:real-establishment,distribution:middle-60pc
2016,est:5119634,1646,comparator:real-establishment,distribution:highest-20pc
2016,est:5119634,91,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5119634,641,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119634,1751,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5119839,38,comparator:real-establishment,distribution:lowest-20pc
2016,est:5119839,722,comparator:real-establishment,distribution:middle-60pc
2016,est:5119839,1762,comparator:real-establishment,distribution:highest-20pc
2016,est:5119839,116,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5119839,709,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119839,1730,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5119936,394,comparator:real-establishment,distribution:lowest-20pc
2016,est:5119936,1056,comparator:real-establishment,distribution:middle-60pc
2016,est:5119936,1835,comparator:real-establishment,distribution:highest-20pc
2016,est:5119936,237,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5119936,916,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5119936,1829,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5120136,103,comparator:real-establishment,distribution:lowest-20pc
2016,est:5120136,709,comparator:real-establishment,distribution:middle-60pc
2016,est:5120136,1551,comparator:real-establishment,distribution:highest-20pc
2016,est:5120136,126,comparator:virtual-comparator,distribution:lowest-20pc
