Time,EducationEstablishment,Unit,Measurement,Value,Comparator,Attainment Distribution
2016,5142938,Tariff Points,Average Total Tariff Score,875,Virtual Comparator,Middle 60%
2016,5142938,Tariff Points,Average Total Tariff Score,1871,Virtual Comparator,Highest 20%
2016,5143837,Tariff Points,Average Total Tariff Score,171,Real Establishment,Lowest 20%
2016,5143837,Tariff Points,Average Total Tariff Score,917,Real Establishment,Middle 60%
2016,5143837,Tariff Points,Average Total Tariff Score,1944,Real Establishment,Highest 20%
2016,5143837,Tariff Points,Average Total Tariff Score,134,Virtual Comparator,Lowest 20%
2016,5143837,Tariff Points,Average Total Tariff Score,824,Virtual Comparator,Middle 60%
2016,5143837,Tariff Points,Average Total Tariff Score,1789,Virtual Comparator,Highest 20%
2016,5143934,Tariff Points,Average Total Tariff Score,176,Real Establishment,Lowest 20%
2016,5143934,Tariff Points,Average Total Tariff Score,906,Real Establishment,Middle 60%
2016,5143934,Tariff Points,Average Total Tariff Score,1972,Real Establishment,Highest 20%
2016,5143934,Tariff Points,Average Total Tariff Score,252,Virtual Comparator,Lowest 20%
